n,t
246,65650
408,211103
339,148866
1000,1285316
22,563
293,117543
185,37265
246,82486
408,206835
744,564332
22,684
619,414691
744,654999
255,84145
663,497234
255,88183
177,32565
1000,1136362
10,164
185,39021
246,85158
1000,1103992
185,51126
855,851427
745,672176
255,70553
507,253723
339,163521
65,5558
855,835576
741,550347
619,532246
177,46522
301,116205
10,137
360,179180
744,669439
137,19307
301,124269
431,192152
663,501498
305,100714
360,174941
408,214417
663,559996
293,97635
904,768842
619,394405
408,166307
663,530570
433,260583
855,932882
433,222829
874,935869
744,607903
507,339082
225,65742
22,658
855,844386
177,36676
904,770926
235,79140
10,115
36,1515
741,731248
619,449217
177,46796
339,161469
225,50389
1000,951262
215,47235
631,539364
185,47149
904,953896
