n,t
163,11091
1000,125803
163,10585
55,1761
608,80425
223,16227
10,146
55,1822
119,5577
213,13764
389,31725
182,13455
232,17284
13,242
792,83653
55,2039
250,19060
827,93039
300,24790
135,8278
608,79149
637,63495
827,119660
213,12468
561,55899
637,84430
348,35698
360,38338
300,26642
746,83991
69,2861
157,8903
13,226
348,32370
746,92413
746,108811
637,77817
548,50415
827,106993
827,128300
561,68349
737,109625
737,77645
157,8970
250,18262
477,49986
477,57701
135,6566
232,19011
300,20688
232,18262
348,31341
55,1843
608,82011
548,53160
232,13586
737,77606
119,5461
119,6630
360,27377
10,140
223,13581
792,85794
637,62895
664,91385
792,109126
766,102624
182,10745
766,116710
277,18917
111,5333
69,2372
223,16610
250,20552
360,32768
792,116898
300,19935
163,8631
342,30954
182,13198
360,36789
163,11603
13,287
10,191
348,33714
111,6718
10,164
477,50129
342,25620
