n,t
537,97
464,104
10,1
794,123
649,102
909,116
500,111
496,77
10,2
159,36
341,84
140,36
431,89
600,111
488,84
584,103
240,53
124,35
449,92
140,37
329,79
794,146
909,116
500,83
10,1
140,42
159,45
600,104
42,14
649,95
431,91
649,125
669,126
947,138
10,1
314,55
449,104
392,79
296,67
794,141
240,45
495,79
124,34
649,122
1000,166
82,29
483,78
85,23
669,127
500,91
124,41
82,26
600,119
947,169
600,102
42,12
449,103
500,105
431,85
909,167
669,136
329,74
519,110
584,92
488,79
496,89
314,58
329,63
837,146
537,106
296,75
296,57
464,91
584,93
837,146
314,81
483,84
794,125
341,81
124,39
392,90
159,45
240,48
449,96
159,35
