n,t
1000,1385290
630,596030
132,25581
686,630631
10,301
69,10136
438,295861
292,111670
826,1066282
438,298452
921,1305187
404,245302
826,953725
376,198416
422,254481
588,510245
281,121435
292,127199
686,687001
201,62491
496,441348
930,1402280
19,910
376,196987
404,209508
588,571778
921,974686
422,244762
292,128269
913,1202914
376,227938
694,816525
446,291033
913,1360474
69,8590
1000,1496772
275,124149
913,1220487
438,250213
496,419681
1000,1351943
826,964191
422,264815
10,271
588,412276
686,793697
69,10740
87,12385
87,11568
191,71926
201,57202
694,807185
354,199783
728,616866
630,567110
490,358726
354,233274
490,433154
921,1316169
19,835
329,158905
68,10538
826,1007742
422,236327
921,1170385
201,65824
68,7821
281,144057
132,28462
87,14763
588,488830
87,12619
19,816
490,404277
630,605202
404,274989
354,174533
354,191718
201,59946
826,1059907
496,346883
10,305
826,945198
1000,1254785
68,8653
438,239321
68,8597
630,532405
281,109275
259,129779
