n,t
501,36681
501,26009
13,101
19,162
481,35818
196,7508
209,9645
589,35497
716,60460
10,68
384,19013
948,79042
43,663
1000,96682
900,76357
564,32139
901,84946
344,20247
394,21806
437,23382
13,95
63,1020
758,67842
437,23520
272,12662
437,23330
1000,88522
209,9599
209,7533
368,19489
10,53
272,14213
481,31878
10,70
366,22030
437,25252
901,67991
1000,109004
368,21733
589,37791
78,1835
589,42388
323,16318
589,43721
78,1628
427,29087
462,31583
691,64496
43,742
427,20257
209,7980
300,12737
196,6880
366,18070
368,15907
564,32317
427,21498
366,22526
481,26153
462,30462
90,2113
272,11980
78,1885
948,82630
10,63
366,21102
384,24499
481,30038
644,48562
716,58913
948,102482
394,21278
78,1778
13,105
948,75296
462,25350
196,7144
368,22382
63,1383
644,48130
501,35669
