n,t
762,7966
512,3836
132,1078
23,126
619,5354
336,3196
65,368
512,4111
336,2483
512,4293
664,7597
336,2342
98,637
722,6439
844,6989
132,964
89,506
664,5571
50,235
33,154
100,563
406,3902
488,4547
664,6983
743,8137
762,7301
619,6060
1000,10731
23,127
655,6633
762,9036
360,3197
33,196
512,5421
336,2760
488,4298
360,3493
123,802
23,96
351,3031
120,827
65,430
693,7017
619,5079
1000,8885
909,10052
123,762
98,587
418,4025
427,4207
28,137
1000,10899
655,6293
100,787
619,5786
33,174
100,549
488,4881
10,38
89,645
664,5320
126,746
909,11064
132,839
145,1088
909,10024
762,8444
