n,t
244,268
285,376
912,972
629,587
218,337
892,909
331,492
912,939
10,19
629,757
244,361
459,534
767,768
892,1137
459,579
529,605
237,328
459,549
244,267
629,575
343,388
10,17
716,706
135,200
776,791
531,729
343,380
943,928
331,393
170,254
163,256
1000,928
237,345
529,668
912,806
892,1047
474,554
767,795
943,1130
716,808
943,809
343,376
716,772
409,581
531,696
629,600
186,214
286,323
489,640
237,330
218,329
529,656
459,477
460,452
285,448
223,344
237,329
102,148
49,100
892,1100
531,611
943,861
716,646
186,230
244,379
474,678
1000,1240
422,489
218,312
343,422
285,378
