n,t
209,10693
107,4039
531,37636
531,34602
451,27490
290,17589
69,1560
10,88
246,9576
184,7497
531,38092
875,70924
875,68691
252,10570
753,63444
307,15910
252,12385
778,59316
523,29037
290,12238
531,29658
255,10567
209,10469
595,48742
69,1517
531,31685
547,39284
160,5182
211,8656
710,49537
523,40397
10,112
1000,95954
451,29113
141,5899
547,35862
184,7394
141,5024
215,11183
451,23144
33,653
184,7182
211,8418
290,16504
265,15066
753,65612
255,12010
10,129
307,18720
1000,105043
69,2102
778,65594
547,43144
88,2277
141,6074
1000,93633
33,574
184,6428
211,7925
523,37479
88,2770
307,13871
33,564
69,2004
778,64942
141,5102
255,11191
753,47619
211,9624
875,83851
252,13894
160,7421
592,45403
10,109
98,2540
265,12685
595,50403
778,56299
69,1589
255,12741
160,6882
1000,73008
265,11932
307,14279
69,2207
875,64861
337,17429
265,14161
523,29611
