n,t
645,2844
125,381
413,1780
645,2790
383,1496
451,1753
749,3483
93,301
943,3406
413,1476
487,1532
472,1918
487,1842
472,1579
487,1689
409,1329
1000,3922
29,71
537,2188
296,1164
240,806
452,1684
927,3486
850,3490
29,58
487,1471
943,3509
383,1545
388,1520
395,1212
452,1406
451,1432
659,2799
363,1404
93,270
125,401
547,1882
240,690
645,2204
850,3853
172,507
943,3469
363,1430
537,2327
10,15
296,828
409,1454
1000,4475
451,1406
240,876
93,259
10,14
1000,4605
172,645
172,497
608,2135
866,2814
927,4051
409,1314
547,2227
125,311
659,2572
363,1250
289,1122
850,3174
318,1042
10,15
413,1437
608,1875
608,2310
645,2133
430,1444
240,925
29,82
318,1178
927,4354
93,227
363,1294
172,635
537,1668
472,1988
240,687
927,4081
537,2022
608,2084
659,2048
10,18
659,2357
451,1931
472,1972
866,4030
