n,t
554,10178
869,15422
328,3575
666,10501
560,7971
126,1311
218,2167
137,1240
126,1153
73,644
1000,21571
343,5529
216,2275
1000,21861
367,4526
10,51
367,5547
564,8565
73,711
343,3802
137,1733
524,7111
269,3256
666,12020
83,790
367,4315
421,6063
554,7260
380,4904
374,4752
1000,15816
524,8068
269,3990
218,2346
1000,20379
734,14636
461,5841
218,2706
560,9520
328,3687
702,11046
681,9147
137,1519
734,9932
10,43
734,10277
144,1737
12,71
367,5877
269,2787
374,4431
421,5260
681,11387
12,71
666,9783
524,6640
99,910
10,46
869,12667
869,12357
284,4075
666,9595
421,7079
564,10331
247,3574
681,11805
911,15145
167,2075
461,5519
12,73
216,2110
10,39
83,706
869,16790
73,640
