n,t
11,7
64,249
612,15888
98,609
47,184
1000,27910
510,11638
329,6363
329,5991
394,7672
47,143
87,494
308,3902
586,16642
910,30743
473,8176
52,213
151,1200
517,11235
793,20986
394,7351
473,11351
151,1480
308,5467
586,14706
87,496
765,18669
910,28043
87,507
473,9586
709,16948
47,156
11,5
259,3702
259,3360
98,572
394,6457
910,32835
448,8376
64,338
151,1418
287,4106
448,9910
394,7335
612,17972
203,2162
793,26299
339,5095
52,193
752,24505
87,553
448,9807
10,4
287,4025
448,10423
1000,35850
649,16320
339,5447
11,5
203,2393
64,255
765,19247
287,4859
259,3404
473,9140
510,11809
586,16255
52,244
36,97
28,54
329,6313
64,350
910,29555
259,3747
329,4721
47,202
67,312
203,2259
10,4
36,111
298,4917
203,2355
98,569
1000,34188
612,15112
