n,t
10,155
753,268722
753,245391
13,309
245,31212
406,91748
406,77994
171,25091
1000,417184
126,13449
322,66326
196,25695
826,343787
245,46316
743,230050
322,73364
751,222805
245,36426
309,67238
481,109020
284,39998
245,33047
149,13398
210,25742
284,42375
243,38138
803,285347
55,2758
322,72231
883,328710
34,1233
149,16072
753,301866
243,45397
751,289429
120,12076
406,85061
284,55961
34,1316
538,130950
165,21908
243,40878
59,2981
10,161
55,2800
171,17451
59,2902
406,99236
126,12599
309,51030
126,12407
883,298662
826,257650
243,34721
196,21657
284,56967
59,3021
126,12869
803,244611
10,166
481,101823
481,133783
55,2615
751,276551
309,50090
728,216396
803,334591
883,359173
210,28017
339,56759
1000,462810
753,314625
803,312780
743,225000
627,215063
210,25521
98,6955
55,2942
309,48918
149,14725
728,247772
196,24626
947,352339
751,290969
196,24924
171,23295
481,137129
339,74777
883,311817
