n,t
339,3276
542,4692
650,4759
167,1234
123,822
477,4027
583,5791
445,4099
123,892
684,7357
1000,10323
121,784
147,899
637,5388
358,3327
147,905
445,3139
41,281
272,2142
476,3664
242,2247
122,909
205,1882
167,1307
120,815
121,1022
476,3783
122,746
684,7190
796,6790
913,9328
637,6586
120,887
913,7115
542,5206
358,3457
445,3400
12,62
796,6973
205,1380
500,4080
537,5142
476,4581
10,45
120,771
121,892
59,318
796,8754
712,6480
121,1048
10,52
122,920
272,2510
583,6133
121,751
10,54
272,1990
205,1569
650,5174
10,56
123,983
147,1154
245,1854
637,5804
913,7030
122,832
1000,8224
904,7509
583,6184
913,8231
121,1034
650,4923
