n,t
99,13007
1000,773856
220,51967
63,4839
487,241278
383,137438
413,189817
633,358765
320,103657
377,148134
130,21613
196,38587
46,3587
472,245508
99,12670
809,579079
382,139767
169,39841
383,131809
487,268633
196,37908
10,138
169,30040
383,179063
46,3304
162,30159
46,3293
1000,894866
196,36173
906,753235
253,64964
169,34241
411,210227
320,124417
99,10785
487,206181
823,621825
823,533220
525,268745
527,263086
527,227564
169,31238
220,63046
320,100632
162,30357
556,278837
472,188692
411,193084
128,20221
472,219680
906,692718
906,787078
1000,865008
700,553491
253,81238
906,836937
527,301911
220,58697
123,17188
411,195912
10,143
128,20923
413,187505
411,202008
320,110063
46,2475
525,225769
220,58905
732,548091
472,209259
610,422051
162,25437
396,161935
130,24393
