n,t
453,33818
525,48135
786,88583
145,6033
201,8128
494,31440
43,957
94,3139
384,27387
458,28321
84,2552
874,78649
372,29128
479,33469
47,1048
94,3056
783,62619
43,1000
384,28331
366,26408
773,66884
205,10664
84,2725
576,46196
863,87108
205,10053
817,81238
525,35894
1000,119406
462,33339
462,35251
384,30467
479,33469
47,934
201,8271
94,2621
384,28004
94,3335
773,81938
201,8771
576,49403
107,4425
479,30095
773,83271
786,84624
783,66140
346,25909
10,98
84,2877
1000,94009
379,22834
43,1109
863,74914
462,35067
201,8687
494,30493
708,71533
205,10424
262,12065
786,90092
366,26577
786,73685
561,41823
205,11059
453,31614
10,103
107,2992
346,25627
379,25954
