n,t
844,6000
19,92
196,1336
122,682
835,5750
228,1619
228,1224
23,137
19,118
506,2960
23,110
269,1789
426,2287
197,1218
806,5185
943,6189
807,4620
197,1245
152,1033
832,5423
450,3098
269,1750
19,98
197,1061
806,4104
657,3258
251,1656
844,4552
450,2408
404,2623
51,351
51,342
396,2562
457,2771
807,5490
263,1456
657,3819
197,1054
806,4502
228,1548
835,4476
807,5041
68,402
152,984
10,46
122,786
774,5625
273,1470
844,5073
518,3664
23,130
774,5542
457,2311
51,250
362,1855
251,1484
10,45
832,5743
23,127
273,1440
774,4036
657,4106
269,1877
51,313
122,850
835,4712
152,957
122,597
263,1686
196,1251
427,2208
844,5663
269,1916
1000,7067
426,3064
