n,t
277,2830
765,13582
921,15529
250,2669
869,15415
950,14378
245,2839
476,5985
297,3589
245,2824
1000,19463
245,3426
703,9477
393,5717
140,1338
890,17826
250,3089
419,5898
131,1485
120,1213
245,2330
703,9434
419,6760
890,13942
222,2513
297,4357
88,637
58,503
1000,17462
410,6094
565,8465
297,3977
140,1265
369,5633
637,10074
391,5768
950,17147
1000,16617
88,757
106,875
106,1088
131,1141
419,6858
565,8340
565,8277
950,18608
369,5225
419,5781
565,7618
88,900
869,12207
890,16670
10,46
637,10290
10,45
408,5001
106,830
476,6925
558,7840
393,4486
369,5868
120,1278
703,9480
27,166
369,5646
222,2392
222,2883
750,10373
408,4949
750,10333
410,4802
950,16213
1000,17412
88,766
750,12773
297,3244
637,8863
869,14575
890,14734
277,3110
869,14540
921,12987
297,3478
765,12764
297,3836
408,6582
106,874
