n,t
380,307888
430,390758
354,290389
354,273758
231,112152
632,771450
458,543060
596,766802
475,476344
444,447408
444,402609
204,120624
430,390017
897,1579726
811,1427186
69,15523
596,968838
1000,2591725
811,1371173
916,1841917
876,1727634
128,48688
458,417464
128,48036
60,12152
916,1913635
746,1336316
897,1582611
10,302
811,1795449
194,82996
876,1695660
811,1435665
596,913357
69,15008
97,30413
60,12482
458,464802
194,111164
507,557293
128,47759
69,13123
811,1556378
231,137497
876,1392761
144,52404
380,309963
1000,2434367
10,366
811,1446653
916,2097742
98,30020
475,432168
194,92205
60,9937
405,378935
916,1570401
231,122430
475,539446
897,1713894
897,1757879
10,392
811,1335670
1000,1926403
69,13281
469,631573
380,348102
248,172975
128,37948
876,1876478
605,978966
97,23875
596,840248
144,45157
268,186606
98,25488
632,993940
465,601625
10,372
98,24906
507,679133
444,557965
475,495258
