n,t
620,1636
573,1493
442,966
85,233
590,1343
17,71
237,596
237,627
759,1715
10,29
422,1073
751,1959
251,596
506,1102
134,320
85,295
37,107
38,135
307,820
251,702
307,673
365,778
304,850
365,854
300,852
38,140
385,1194
134,427
304,779
506,1293
1000,2695
38,111
422,1288
87,275
344,1066
442,1138
767,1859
767,1530
87,247
906,2350
353,857
759,1881
442,1049
472,1314
573,1301
10,39
242,631
251,685
700,1938
37,146
307,898
767,2214
422,1129
300,939
590,1696
1000,2627
759,2028
353,1014
906,2241
422,1255
906,2060
344,847
237,627
1000,2031
251,689
134,369
759,1816
472,1375
242,597
304,835
590,1504
37,150
442,1091
17,53
486,1054
134,441
300,752
85,283
38,120
1000,2067
365,896
486,1242
85,228
304,673
307,989
87,286
242,656
472,1166
817,1875
365,1145
10,29
767,1503
