n,t
697,49946
535,28123
848,72269
697,43625
74,1731
451,20355
848,56055
509,36330
509,34376
290,13189
18,182
309,14953
309,12435
276,11145
509,26121
769,51115
74,1986
848,54481
436,25817
12,135
436,24939
289,10570
74,1803
535,28075
301,15601
10,92
29,446
290,10579
334,19202
74,1657
740,62275
436,25512
585,39627
1000,93526
289,15307
12,145
585,32284
1000,68352
293,12429
697,50670
913,74921
1000,76482
18,253
769,50646
164,5125
289,14278
293,14748
10,108
29,474
763,53922
367,21858
367,20256
290,12141
12,127
18,205
257,11540
18,253
276,13066
509,34566
848,59761
373,22433
293,12785
1000,87274
585,30244
207,7211
276,13147
436,25995
207,6967
29,437
276,14713
29,493
289,14176
440,26233
334,17800
393,21161
913,79115
652,50286
309,14593
