n,t
936,2188
145,578
807,1976
491,1663
131,529
807,2233
84,299
312,813
145,521
84,271
180,644
482,1696
467,1616
717,2268
312,986
26,108
180,637
482,1339
240,829
64,198
578,1717
10,47
667,1857
111,312
482,1232
218,642
240,869
324,862
907,2691
614,1533
145,428
482,1741
111,328
936,2642
131,486
829,1997
312,1164
131,416
385,1237
493,1448
907,2398
829,2411
180,600
614,1848
1000,2964
627,2138
907,2468
53,219
218,635
53,183
53,211
717,2117
807,2797
385,1370
10,54
907,2649
324,882
10,53
84,267
667,1730
462,1289
907,2645
131,383
467,1318
324,1230
936,3047
186,693
578,1819
312,1110
