n,t
291,117681
51,3704
291,92715
721,531278
178,51263
681,452324
112,15102
190,44244
390,212595
1000,1079888
381,216705
170,38925
588,440310
291,122976
421,256232
385,210080
721,726631
10,190
934,936613
688,630596
497,243357
270,99033
588,345313
932,845329
721,660670
51,4705
120,22082
721,581754
932,1141893
10,162
588,420069
39,2468
10,219
635,541338
764,670427
941,1023896
864,916773
178,44905
291,121365
190,53932
190,47750
291,107777
390,167559
178,38611
291,95903
385,162682
1000,1131983
864,747904
95,11056
385,159703
497,328566
390,205553
681,542361
385,186573
764,663098
178,37407
427,200317
427,233199
681,592089
51,4576
764,813343
39,2290
941,834048
112,19984
484,312271
270,101110
421,217803
688,485229
932,827533
190,45664
497,341208
270,93604
381,189777
421,245944
293,121293
764,683142
76,9574
39,2571
76,10235
51,3315
421,210130
932,1040116
934,1096605
