n,t
50,258
268,2271
670,5246
302,2300
293,2561
153,1061
1000,8642
24,141
161,994
10,43
368,3298
42,263
707,6141
724,7128
336,2301
293,2324
161,1252
773,6444
537,4345
161,904
1000,11108
161,1124
453,3135
186,1375
823,8516
490,3315
532,5327
293,1884
42,221
10,43
336,2495
894,9884
1000,8848
537,5222
161,1074
701,6830
532,4261
24,135
707,6674
453,4024
10,45
153,1163
724,7328
701,7229
701,7256
532,5053
138,883
773,7543
670,5175
335,2487
179,1502
338,2751
670,6973
138,1043
701,7501
179,1450
186,1301
50,245
338,2988
894,8247
894,8731
938,9693
186,1115
10,47
268,2250
50,290
670,6936
894,8801
724,6324
773,8073
43,196
153,838
138,749
302,2637
453,3769
268,2419
161,1279
823,6835
50,254
338,2806
186,1384
490,3995
268,2307
161,926
24,120
336,2551
302,2052
43,234
490,3595
1000,9535
293,2058
161,1075
302,2011
153,1186
24,132
23,125
