n,t
514,3764
344,2688
90,514
396,2737
853,6477
627,4556
367,2661
180,1254
205,1421
514,4314
132,868
132,622
1000,9214
683,5218
853,6160
489,2889
280,1872
49,249
654,5652
514,4084
49,238
654,4049
683,4295
379,2487
91,440
420,3016
344,2498
180,1193
297,1786
52,217
683,4249
690,4694
690,4377
654,5411
489,3308
49,212
280,1486
193,1209
572,4328
654,4078
367,2768
477,3049
10,38
132,703
396,2737
524,3486
853,7327
180,1012
280,2114
627,4701
10,45
563,4138
627,5345
451,3038
193,1345
627,4431
514,3240
563,3339
90,443
489,3828
425,2431
91,402
10,30
344,2656
132,812
91,430
451,2940
91,459
683,5217
419,2593
638,4845
344,2206
10,38
49,262
451,2644
477,3001
425,2678
180,1179
572,4077
193,1042
853,7494
90,535
205,1321
