n,t
742,1859
10,46
905,1569
491,1265
253,721
782,1684
316,859
460,830
253,492
755,1897
410,1083
187,536
1000,2156
1000,1810
755,1306
460,1211
1000,1855
216,592
479,1175
755,1446
755,1571
133,285
285,726
547,1320
93,258
460,1235
10,46
1000,1690
748,1294
253,547
742,1373
93,281
316,696
905,2121
187,519
691,1623
607,1247
422,957
547,1066
782,1354
47,162
691,1257
298,576
64,194
547,1195
491,1074
262,674
691,1433
133,313
47,152
227,611
187,543
491,1279
654,1636
479,1211
19,72
72,199
133,408
94,301
94,254
72,179
316,720
410,858
216,562
94,268
547,1292
591,1105
253,684
10,48
742,1398
216,510
93,288
187,560
133,383
905,2101
