n,t
1000,157776
927,107534
899,127200
254,16253
22,257
495,34365
75,1846
496,37771
430,32490
380,29317
66,1754
415,33583
696,62240
496,45532
440,30184
75,1851
380,31405
696,62869
594,48632
305,15025
380,23212
305,16417
440,39213
696,72508
594,64434
440,27407
157,7147
215,12153
496,49752
415,32019
659,58220
66,1575
584,59242
594,61030
618,64409
10,60
430,27764
584,64444
415,32153
618,53096
690,80276
618,54055
66,1754
75,1583
282,18889
690,81633
75,1938
760,80336
495,37170
618,50329
22,254
659,77817
22,241
584,45880
474,32451
899,110950
57,1022
430,38842
377,26245
282,15138
86,2503
305,15738
305,20338
57,1273
415,32298
495,38062
496,35752
380,26313
86,2642
157,5897
282,14559
57,1031
518,42579
594,52920
440,39383
659,73216
760,97534
73,2057
440,35952
927,137896
760,90246
10,66
