n,t
180,13743
1000,280561
763,136578
273,26404
496,93214
198,19675
1000,255464
496,67888
492,87993
166,15263
180,14961
362,39506
90,6243
668,141955
166,11780
394,53240
713,135305
303,43553
668,128348
157,12521
394,60644
143,10250
713,151304
90,6514
37,1498
518,92587
143,9695
10,222
90,6048
306,31050
1000,225747
668,140832
713,122007
10,179
157,15466
719,161817
719,121495
714,148977
180,19433
166,13270
268,35910
10,203
143,11412
636,94976
339,43213
441,66974
180,14543
303,35297
138,11858
719,115440
763,129773
273,27981
283,38501
366,48972
492,78910
283,27954
713,123357
860,218496
636,135016
166,15903
198,21429
714,121109
37,1184
496,64688
636,105680
198,20012
668,114294
362,45736
10,195
339,49244
339,37112
198,21287
518,74678
362,55002
283,33668
90,5431
860,167563
875,156623
780,187895
860,165490
273,36389
763,135921
763,156075
860,150004
636,129638
