n,t
925,49507
674,27855
761,35969
782,36869
298,5885
235,4263
587,17924
892,33903
271,6942
574,16091
118,1554
118,1823
892,40621
160,2432
782,28824
587,19867
213,4767
831,37365
92,1346
92,1187
892,32935
758,30815
674,23446
497,18115
674,27194
925,46140
761,27430
158,2531
267,5000
251,4959
587,18036
925,40012
160,2732
892,43148
118,1701
1000,55786
653,28672
383,12217
761,35700
758,27368
46,413
46,321
158,2574
172,3063
242,5213
46,356
172,2442
674,28328
10,22
172,2653
280,5869
1000,44751
235,5231
587,18551
213,4632
758,27691
117,1900
1000,55043
117,1736
1000,54955
242,4351
319,6765
319,8854
10,25
158,2585
761,26447
242,4220
574,20244
758,28193
831,31017
92,1302
653,22598
213,3775
319,6913
497,14680
172,3077
160,2881
256,6491
118,1908
117,1518
434,15296
497,18261
158,2364
497,14346
925,46389
92,1078
