n,t
146,2358
473,15283
140,1832
754,23120
290,5545
754,30874
248,4258
905,36949
496,13031
146,2551
55,612
606,21093
782,30943
39,356
10,40
290,7164
606,20638
473,11980
385,10825
144,2444
531,15034
460,15195
144,2463
782,30020
39,345
496,13356
598,18536
24,172
523,17065
523,16573
598,22486
55,662
140,2451
50,438
453,11229
344,8258
905,38231
344,9564
885,29191
470,11051
382,11301
10,47
470,15712
523,13184
204,3645
12,50
55,676
473,15219
693,24837
1000,42342
1000,38054
523,14006
885,30285
10,49
204,4507
885,27527
10,35
290,5293
385,8102
598,21263
140,2087
144,2441
385,10585
290,5400
400,12081
531,18313
496,14643
460,14641
248,4646
146,2342
606,17751
778,24281
12,60
496,13205
204,4181
