n,t
163,39
163,40
126,29
643,73
213,43
32,18
42,19
214,48
593,60
369,65
151,35
863,106
213,46
863,93
530,77
331,42
950,92
31,19
10,11
69,19
46,18
151,28
369,59
647,78
80,21
776,80
78,20
448,64
42,14
163,40
126,35
950,109
10,10
69,24
32,15
559,79
10,11
488,59
163,38
213,48
441,67
619,66
1000,90
80,26
643,77
151,37
441,71
213,44
31,15
448,54
119,34
135,38
1000,93
151,39
448,49
619,61
406,59
331,54
126,31
135,28
863,95
214,36
448,56
69,25
119,34
119,26
488,59
643,87
593,76
586,70
593,71
46,17
32,13
647,71
863,105
406,47
119,27
1000,114
69,20
126,35
619,65
559,68
593,81
