n,t
246,113
910,315
64,38
246,123
222,92
573,169
10,13
428,177
385,125
812,224
935,330
358,164
222,105
246,88
358,143
197,76
935,245
573,228
935,325
190,82
727,195
727,200
87,54
288,108
402,151
288,95
796,271
158,77
10,12
796,284
796,247
222,99
628,229
403,161
292,109
812,277
910,271
385,175
288,124
167,67
233,105
190,84
244,118
1000,343
906,256
288,101
467,180
244,113
1000,352
167,64
244,94
945,290
36,32
580,187
727,204
910,263
36,31
467,180
467,175
340,154
402,173
945,281
10,17
580,212
580,171
292,117
812,233
910,318
945,306
190,71
428,143
292,94
233,93
167,66
945,296
403,126
628,203
358,148
580,201
292,133
