n,t
804,2668613
615,1317515
196,173064
327,329841
477,932579
636,1324928
797,2550167
434,690898
350,447773
594,1535377
636,1373718
216,143663
88,26111
778,2167820
104,35453
621,1380390
621,1220402
371,478359
19,1526
327,457710
327,356295
778,2455626
615,1329278
797,2341950
594,1036633
778,2223590
615,1516032
878,3020064
699,1800148
333,358642
216,178497
327,423970
1000,3359382
19,1545
434,819365
194,158633
377,462058
196,143201
104,45435
333,431735
477,882094
211,141462
216,155068
699,1738872
377,624651
353,394313
473,716296
88,31348
636,1277495
67,18070
350,491502
67,20006
1000,3698690
699,1665796
19,1317
778,2180701
10,385
878,2422695
67,18406
804,1954629
477,950290
699,1779676
434,770292
477,974713
211,152010
104,44111
104,37977
10,436
615,1255389
424,781681
377,483118
636,1721924
196,146031
135,56187
371,544757
305,356421
350,474140
865,2966793
878,3103000
10,453
377,592826
216,209372
211,168244
371,466582
19,1634
353,425772
350,404278
135,62533
