n,t
426,69827
571,106703
385,51843
127,11375
237,30116
437,67503
642,117785
121,10990
69,4172
437,81968
381,61513
127,9597
127,11128
473,76256
328,41785
121,8312
843,172920
1000,235261
642,122145
10,182
426,70503
297,38689
69,4671
122,11212
135,9980
702,129392
328,36041
28,1154
237,24130
291,33406
925,223476
127,8445
267,26988
127,10727
297,30504
53,2573
385,48160
122,7701
426,75304
702,143610
741,180304
437,82852
642,138661
53,3011
297,43339
385,50999
572,84222
328,41151
642,107820
739,166691
122,9661
925,266309
381,58671
148,10934
328,47431
336,43246
28,829
381,53593
692,160677
692,118052
702,126272
473,69229
692,154378
127,10147
10,196
473,68835
381,57947
473,69961
121,10348
122,8825
127,11284
437,79270
843,191350
877,167347
53,2493
739,132888
385,54551
336,41392
336,44187
741,127521
877,193558
426,61884
297,36498
