n,t
378,355215
679,1155408
383,366004
347,377620
378,484683
558,874919
475,768639
10,338
234,184280
380,487317
376,395339
315,300502
366,358096
427,587675
315,289923
465,669989
766,1491949
427,532109
427,551436
347,369736
90,29147
489,786152
380,358990
867,1866058
757,1413367
509,890586
558,745050
380,435491
679,1136640
376,393962
541,796527
76,19370
234,141203
766,1410909
462,620966
427,636299
495,746648
823,1792950
347,428036
867,2270620
495,578306
33,3199
90,24129
558,1080642
90,22408
234,136993
274,218627
489,699158
445,590828
823,1550818
383,480909
766,1626366
766,1841156
274,267671
257,226141
76,19272
315,299224
586,837656
757,1743303
558,936178
509,692312
347,405808
376,391004
33,3442
445,647297
383,515910
541,760833
257,225868
679,1522052
757,1349963
445,653259
465,629811
541,915937
509,637279
380,443591
489,689208
1000,2777958
10,436
509,784628
823,2145182
906,2700971
445,495369
234,165760
1000,2823589
10,437
