n,t
10,135
669,177572
118,8688
92,8170
669,171312
92,5685
532,144118
145,12137
901,297125
1000,356441
557,174337
372,66911
90,5857
92,7589
338,51358
669,199577
140,11751
409,91705
38,1336
118,9032
372,62469
557,133625
938,391455
790,252008
660,237234
372,89864
38,1628
532,144957
790,298870
938,367269
557,122903
189,26949
1000,367881
66,3531
808,328748
145,17483
328,56961
372,71055
372,68884
145,12508
386,88974
1000,467758
179,22372
372,70481
145,14750
669,225249
372,88881
328,63563
532,165443
487,126403
338,59274
256,40415
938,343650
451,101437
92,6748
140,12168
10,132
808,311972
386,87452
338,52923
451,110598
90,7471
685,216031
790,276074
468,118146
425,78362
66,4151
90,6504
557,165837
685,197269
798,228078
451,115656
487,143143
189,26930
66,3454
798,238955
808,309570
808,279623
90,7334
