n,t
236,331
198,355
201,342
1000,1561
236,330
280,504
137,180
852,1286
894,1217
1000,1384
918,1371
168,299
420,718
198,351
731,1158
1000,1710
439,672
607,941
288,363
821,990
541,763
852,1112
163,292
731,881
852,1474
894,1101
220,398
288,512
280,457
814,1297
375,486
607,1010
821,1004
274,361
918,1583
242,405
811,970
607,734
821,1425
918,1524
1000,1579
220,401
894,1064
202,320
168,277
274,436
439,604
202,285
201,352
220,288
288,386
202,371
943,1439
814,1104
140,255
175,298
943,1634
163,256
852,1481
288,379
943,1311
201,321
541,658
821,1025
375,637
242,349
439,590
731,1277
731,1150
375,607
201,297
439,785
280,371
242,391
137,232
274,430
238,293
10,15
814,978
411,563
91,171
175,288
