n,t
932,176659
179,17306
289,32287
1000,229623
359,36775
27,846
786,143524
330,35041
394,62532
394,47568
387,41756
496,86104
942,224177
421,66286
299,29175
299,39076
159,11280
454,77239
454,61639
786,160560
942,213837
27,590
63,2493
786,162037
265,22463
909,190509
885,201150
793,135049
330,43776
885,207266
154,13094
909,174966
398,53729
398,56100
179,16512
909,178661
289,37377
493,81629
394,58744
942,204712
27,691
779,127625
63,2557
793,179478
265,24106
496,84277
496,61447
1000,245663
885,220293
394,56243
154,12949
27,733
299,33316
1000,187130
179,13262
400,60808
387,54768
786,156673
10,155
10,135
909,216431
493,85029
289,37958
299,28037
330,34676
179,17680
10,117
641,125543
265,24518
10,144
162,13444
421,65111
359,41102
885,192179
162,13438
162,14214
942,195873
421,50373
768,135607
496,82748
252,25240
359,41951
398,61796
454,71628
942,190543
265,29652
398,49234
400,44161
