n,t
441,128535
753,295381
335,97469
595,231469
323,94115
408,110588
192,29042
295,71663
10,204
16,458
38,1602
16,426
405,115342
379,114763
572,188362
753,367282
829,389060
405,97021
1000,479227
48,2799
441,125713
405,114020
572,205895
276,58731
483,134487
601,243935
408,126409
780,425690
108,11117
379,96761
684,299886
576,187016
780,442831
732,342126
323,70881
38,1860
732,391548
880,378355
408,137189
295,75555
323,71669
295,62425
16,413
408,120691
335,95639
405,110553
313,80026
203,37808
753,380564
572,221068
276,56024
16,431
483,186103
753,373956
441,153692
425,138180
572,218456
408,142424
441,117574
393,121245
576,190847
576,222366
