n,t
10,17
371,408
90,126
723,840
480,613
259,414
371,436
367,417
54,86
90,136
229,334
1000,1003
367,560
867,1112
441,525
507,695
259,329
229,329
284,303
259,396
449,605
865,983
270,317
827,1039
352,417
480,548
247,331
367,494
352,483
865,993
54,102
441,581
314,405
788,1072
314,479
460,605
116,199
516,717
694,790
90,166
507,733
405,612
54,73
367,424
371,553
116,148
270,384
460,626
788,939
516,573
1000,1311
867,1165
694,719
788,899
116,162
441,567
211,249
865,884
371,398
352,516
136,225
284,413
460,625
441,549
136,178
284,390
502,611
460,570
371,504
284,358
90,159
116,139
136,186
480,596
314,334
676,821
694,683
