n,t
1000,6133
359,2332
55,258
754,5196
149,796
262,1206
268,1249
55,264
695,4692
543,3114
66,380
66,420
119,758
543,3673
458,2850
946,4868
543,3275
399,2402
752,4658
37,218
946,5639
52,252
784,3767
576,3403
149,796
223,1123
576,3884
863,5528
752,3784
880,5054
1000,5081
1000,5687
37,192
268,1573
239,1224
149,965
264,1648
223,1366
191,1097
409,2652
55,376
784,4718
10,70
820,5136
359,1941
754,4453
262,1561
264,1622
155,810
863,5128
695,3640
752,4825
55,331
946,5973
880,5079
128,782
450,2350
155,835
37,248
576,2678
128,619
37,219
353,2327
754,4521
239,1637
359,2449
1000,6368
543,2976
863,5707
128,602
264,1453
149,710
754,4585
128,875
576,3498
863,4189
