n,t
462,324
633,340
86,86
220,157
266,221
220,159
89,90
517,418
279,181
863,525
287,255
280,210
747,540
747,532
1000,618
295,215
162,147
280,191
366,273
226,152
77,67
89,82
633,496
517,294
462,268
287,227
95,93
95,92
10,10
226,210
446,295
266,184
86,67
10,10
633,425
89,76
527,397
162,161
162,129
729,455
279,203
89,95
446,297
588,331
226,194
180,176
774,544
747,519
287,249
266,220
16,19
10,14
162,124
729,464
755,543
162,143
162,126
747,561
527,356
279,202
280,186
462,264
774,462
220,204
863,563
761,437
162,160
774,531
527,352
266,198
95,93
446,328
77,88
774,527
755,571
287,249
180,148
517,390
89,82
755,582
1000,709
180,154
633,494
729,447
279,215
180,173
527,297
16,15
162,131
10,12
