n,t
327,7847
219,5216
42,399
329,10740
219,5453
835,29766
219,4123
472,16808
920,44189
237,5863
42,389
327,8459
446,16509
544,22027
844,31204
232,4920
1000,52547
544,16478
57,565
327,7774
232,5421
110,2019
232,6111
138,2354
59,625
59,734
133,2130
42,372
442,11598
455,12095
138,2587
530,21135
857,45244
658,23947
138,2416
530,20399
42,434
133,2618
472,14974
327,8379
920,39478
333,8196
276,7704
59,768
10,57
511,19479
474,13082
105,1835
329,10213
530,16855
835,29884
446,15531
232,4604
58,795
844,30119
446,16130
844,40181
10,53
745,31799
844,38403
472,16995
110,1453
745,35753
219,4372
1000,47106
10,49
472,17160
730,35652
442,14493
658,28078
544,23041
