n,t
503,367
320,228
57,57
646,406
500,436
212,176
296,255
24,39
44,51
35,50
646,531
901,590
503,329
500,398
230,190
785,527
503,449
37,39
500,457
646,399
786,656
785,597
373,360
249,261
230,188
24,27
35,41
249,193
631,541
631,389
402,380
212,213
230,201
785,608
786,627
402,396
901,590
429,352
448,382
57,68
1000,679
199,212
296,245
1000,584
35,48
37,53
37,43
1000,777
57,66
199,172
35,42
717,582
429,376
203,185
156,156
519,448
296,292
519,363
37,49
249,251
717,441
610,487
42,54
717,575
57,65
717,477
402,346
786,499
10,17
646,399
10,13
402,318
488,315
10,16
786,513
448,360
901,570
42,61
