n,t
417,139
305,137
642,223
947,278
486,193
96,53
911,232
66,53
859,301
280,139
343,122
94,53
343,171
414,194
911,291
269,123
698,198
305,154
314,154
355,148
496,208
417,192
566,226
859,271
355,125
642,258
417,142
305,110
343,168
314,149
844,249
269,125
417,198
390,144
94,58
21,23
280,136
311,120
314,163
321,119
520,181
393,191
280,101
698,215
390,155
10,11
343,142
66,56
414,187
520,215
642,227
761,301
10,11
911,305
442,145
859,322
393,171
280,141
94,53
10,15
486,163
269,123
911,322
552,236
642,204
566,239
1000,263
552,187
56,47
520,210
66,39
21,21
10,12
21,22
94,57
552,236
269,105
442,145
305,121
390,139
355,147
844,247
844,309
390,147
698,216
947,241
1000,296
