n,t
369,2857
197,1134
842,6305
410,3345
65,320
301,1708
696,4613
758,5737
173,1387
122,714
842,6780
507,4228
61,325
263,2156
683,4276
65,388
717,6072
322,2709
270,1990
369,2481
165,890
1000,6715
369,2987
770,5073
301,1989
86,475
65,365
273,2046
273,1842
275,1737
683,6163
86,636
273,1788
696,4540
19,96
399,3384
336,2378
122,816
507,3434
270,1687
770,6057
369,2431
275,1993
322,2213
842,5648
770,5418
711,6288
570,3515
424,2701
165,1112
165,1079
758,4865
173,1003
122,811
273,1631
1000,6918
711,5187
275,2104
424,3565
717,5899
65,468
576,4864
86,586
570,3528
842,6153
102,552
696,4350
270,2076
10,48
399,3060
173,1387
711,6311
