n,t
155,11435
338,39612
814,233414
716,145623
97,4514
764,221341
211,19833
716,160880
179,14110
862,259567
1000,308723
50,1652
97,5645
730,180984
50,1676
124,7556
415,59219
258,23806
544,95304
862,240449
819,269178
154,10906
212,22990
336,49159
544,109903
124,7699
228,25108
97,4967
155,13286
814,211329
679,143748
10,75
52,1680
52,1385
814,223168
10,88
212,17894
862,264106
639,144708
544,119570
336,50021
639,118002
103,6058
639,130393
480,85526
228,25452
716,152595
679,136542
1000,306653
103,4733
106,6775
154,11114
415,57562
814,253294
146,11673
211,20421
730,190599
639,164849
679,131625
544,87058
179,16300
679,145908
534,122292
10,87
258,32238
212,19370
103,5586
146,10601
50,1186
862,260120
52,1400
52,1889
211,22763
428,59313
124,7775
464,88851
154,13551
1000,266294
97,4304
716,195318
