n,t
930,273450
300,41210
300,41098
194,22688
34,1219
650,149432
425,62852
356,45419
10,154
350,46058
194,17741
715,160614
14,274
381,55472
352,46376
10,156
331,39646
911,267257
291,32646
291,39916
1000,285034
693,165350
300,36078
500,76548
46,2228
121,8200
500,100986
500,79062
431,81552
312,51322
704,144788
431,65336
291,35356
431,59725
868,203679
454,87368
725,188865
350,44684
100,7409
230,26164
312,44444
356,62989
194,24126
734,192564
425,76690
643,134699
734,185393
1000,283585
643,137532
930,263604
230,27242
350,61780
650,156250
431,69278
121,9237
194,21949
715,135686
194,24137
930,280792
356,50595
1000,323858
34,1468
230,26950
643,149569
643,114841
425,67226
194,20644
331,44420
312,42848
704,167370
10,180
194,23829
14,353
868,220480
312,51800
454,87191
693,162221
704,186422
