n,t
795,2766
79,274
186,646
226,669
213,821
183,579
727,3253
878,3971
918,3601
186,739
142,394
372,1375
10,31
217,790
307,1278
186,654
107,294
918,3241
882,3745
437,1321
142,379
107,277
878,3185
183,555
15,44
183,506
124,476
798,3080
183,502
18,48
437,1390
268,1061
722,2497
226,663
107,321
727,2397
226,826
795,2733
727,3176
207,633
372,1421
798,2498
226,790
437,1390
15,37
616,2650
106,341
437,1526
1000,3246
727,3297
622,2094
268,1061
186,732
795,2731
268,930
616,2264
217,877
295,1139
10,24
106,366
622,2067
213,706
217,762
616,2782
372,1148
882,3437
722,3294
317,1257
795,2624
307,903
722,2284
307,1162
622,2733
943,3524
226,774
878,2779
106,396
918,4269
106,344
918,3520
10,31
207,688
