n,t
916,688541
439,201106
905,876692
521,228410
121,18304
220,62496
660,386744
28,1143
28,1523
1000,810903
90,10626
372,159656
464,236285
788,643776
825,741997
79,6979
521,284003
905,940304
1000,775782
474,250147
281,84436
207,59381
474,192040
781,708575
220,65443
281,103855
754,562999
439,234715
916,847156
480,206439
10,179
10,171
220,50099
194,48104
660,366132
207,60348
905,694183
141,22825
121,19901
660,523044
227,61860
916,676853
439,206489
480,267197
10,194
10,179
194,43148
825,686048
282,84503
220,67657
474,233553
227,66826
825,764868
259,78565
194,41223
207,60795
406,150795
788,625756
372,136620
79,7937
439,201065
464,190205
916,801300
804,648257
788,652206
804,528580
825,619139
781,559273
141,25895
804,523347
227,68909
259,89807
90,10039
369,137211
207,54571
259,88280
28,1217
79,8067
141,25846
406,178196
372,142608
464,235671
160,30929
781,648966
474,204808
121,19076
28,1372
464,197557
141,28255
227,53149
582,412983
582,383151
372,132502
90,10227
582,298456
79,7518
582,375362
